@relation polling

@attribute mesageTime date "yyyy-MM-dd HH"
@attribute messageClass {CT600, SA100, SA800}
@attribute messageSize numeric
@attribute responseTime {1, 2, 3, 4, 5, 6, 7, 8, 9}



@data
"2017-01-01 01",    CT600,	1243,	2
"2017-01-01 02",    CT600,	80,		1
"2017-01-01 03",    SA800,	765665,	7
"2017-01-01 04",    SA100,	234,	1
"2017-01-01 05",    SA100,	187,	1
"2017-01-01 06",    SA100,	1209,	2
"2017-01-01 07",    SA800,	234,	1
"2017-01-01 08",    CT600,	72,		1
"2017-01-01 09",    CT600,	888,	2
"2017-01-01 10",    SA100,	786321,	9
"2017-01-01 11",    CT600,	8762,	4
"2017-01-01 12",    SA800,	6564,	4
"2017-01-01 13",    SA800,	7652,	4
"2017-01-01 14",    SA100,	1265,	2
"2017-01-01 15",    CT600,	68,		1
"2017-01-01 16",    SA100,	77,		1
"2017-01-01 17",    SA800,	12353,	5
"2017-01-01 18",    SA800,	45,		1
"2017-01-01 19",    CT600,	657657,	8
"2017-01-01 20",    SA100,	675,	2
"2017-01-01 21",    CT600,	1243,	2
"2017-01-01 22",    CT600,	50092,	5
"2017-01-01 23",    SA800,	765665,	9
"2017-01-01 00",    SA100,	41234,	4
"2017-01-01 01",    SA100,	9212,	3
"2017-01-01 02",    SA100,	1209,	2
"2017-01-01 03",    SA800,	234,	1
"2017-01-01 04",    CT600,	45121,	5
"2017-01-01 05",    CT600,	888,	2
"2017-01-01 06",    SA100,	786321,	9
"2017-01-01 07",    CT600,	8762,	3
"2017-01-01 08",    SA800,	25641,	4
"2017-01-01 09",    SA800,	7652,	3
"2017-01-01 10",    SA100,	1265,	2
"2017-01-01 11",    CT600,	2124,	2
"2017-01-01 12",    SA100,	1872,	2
"2017-01-01 13",    SA800,	12353,	3
"2017-01-01 14",    SA800,	45,		1
"2017-01-01 15",    CT600,	657657,	8
"2017-01-01 16",    SA100,	675,	2
